time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,7,7,0,0
2026-07-02 00:00:00+00:00,20,11,7,5
2026-07-03 00:00:00+00:00,9,9,7,6
2026-07-04 00:00:00+00:00,24,13,2,2
2026-07-05 00:00:00+00:00,32,16,1,1
2026-07-06 00:00:00+00:00,6,6,3,3
2026-07-07 00:00:00+00:00,10,9,8,4
2026-07-08 00:00:00+00:00,13,7,28,8
2026-07-09 00:00:00+00:00,34,19,24,8
2026-07-10 00:00:00+00:00,462,13,5,4
2026-07-11 00:00:00+00:00,30,12,5,5
2026-07-12 00:00:00+00:00,11,6,5,5
2026-07-13 00:00:00+00:00,19,10,4,4
2026-07-14 00:00:00+00:00,18,9,13,5
