url_path,views_total,views_unique
/shalenMathew/Quotes-app,36,23
/shalenMathew/Quotes-app/tree/master/app,3,2
/shalenMathew/Quotes-app/tree/master/app/src/main,3,2
/shalenMathew/Quotes-app/tree/master/app/src,2,2
/shalenMathew/Quotes-app/tree/master/app/src/main/res,2,2
/shalenMathew/Quotes-app/releases,2,1
/shalenMathew/Quotes-app/blame/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/screens/settings_screen/SettingsScreen.kt,1,1
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/screens/settings_screen/SettingsScreen.kt,1,1
/shalenMathew/Quotes-app/branches,1,1
/shalenMathew/Quotes-app/commit/779ed93fe5abc3d6baf9b803496642b5ee8724bf,1,1
