url_path,views_total,views_unique
/shalenMathew/Quotes-app,78,42
/shalenMathew/Quotes-app/tree/master/app/src,12,5
/shalenMathew/Quotes-app/releases/tag/v3.1,11,9
/shalenMathew/Quotes-app/tree/master/app,10,7
/shalenMathew/Quotes-app/tree/master/app/src/main,9,6
/shalenMathew/Quotes-app/commits/master,9,1
/shalenMathew/Quotes-app/tree/master,8,5
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,7,3
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/data,7,3
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/presentation,7,3
