time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-24 00:00:00+00:00,3,3,9,6
2025-11-25 00:00:00+00:00,4,4,13,3
2025-11-26 00:00:00+00:00,12,10,15,8
2025-11-27 00:00:00+00:00,4,4,65,14
2025-11-28 00:00:00+00:00,4,4,34,8
2025-11-29 00:00:00+00:00,4,4,28,5
2025-11-30 00:00:00+00:00,2,2,3,3
2025-12-01 00:00:00+00:00,52,18,6,4
2025-12-02 00:00:00+00:00,31,10,13,3
2025-12-03 00:00:00+00:00,124,31,10,3
2025-12-04 00:00:00+00:00,12,7,20,8
2025-12-05 00:00:00+00:00,22,17,52,4
2025-12-06 00:00:00+00:00,7,5,19,5
2025-12-07 00:00:00+00:00,2,2,4,4
