url_path,views_total,views_unique
/shalenMathew/Quotes-app,106,93
/shalenMathew/Quotes-app/releases/tag/v5.1,29,28
/shalenMathew/Quotes-app/releases,14,14
/shalenMathew/Quotes-app/tree/master/app/src,7,4
/shalenMathew/Quotes-app/tree/master/app,4,3
/shalenMathew/Quotes-app/tree/master/app/src/androidTest/java/com/shalenmathew/quotesapp,4,2
/shalenMathew/Quotes-app/forks,4,1
/shalenMathew/Quotes-app/pull/202/commits,4,1
/shalenMathew/Quotes-app/fork,3,2
/shalenMathew/Quotes-app/tree/master/app/src/main,3,2
