url_path,views_total,views_unique
/shalenMathew/Quotes-app,121,80
/shalenMathew/Quotes-app/pulls,26,6
/shalenMathew/Quotes-app/tree/master/app,24,13
/shalenMathew/Quotes-app/issues,24,8
/shalenMathew/Quotes-app/tree/master/app/src,17,11
/shalenMathew/Quotes-app/tree/master/app/src/main,16,10
/shalenMathew/Quotes-app/issues/187,15,2
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,14,11
/shalenMathew/Quotes-app/pull/188,14,4
/shalenMathew/Quotes-app/issues/183,11,3
