time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-08 00:00:00+00:00,28.0,6.0,13,5
2025-11-09 00:00:00+00:00,20.0,8.0,23,10
2025-11-10 00:00:00+00:00,27.0,11.0,17,9
2025-11-11 00:00:00+00:00,24.0,7.0,21,7
2025-11-12 00:00:00+00:00,4.0,4.0,13,6
2025-11-13 00:00:00+00:00,16.0,9.0,22,5
2025-11-14 00:00:00+00:00,28.0,6.0,10,5
2025-11-15 00:00:00+00:00,6.0,3.0,8,3
2025-11-16 00:00:00+00:00,5.0,5.0,8,4
2025-11-17 00:00:00+00:00,3.0,3.0,9,4
2025-11-18 00:00:00+00:00,4.0,4.0,5,5
2025-11-19 00:00:00+00:00,2.0,2.0,2,2
2025-11-20 00:00:00+00:00,2.0,2.0,23,2
2025-11-21 00:00:00+00:00,,,5,4
