url_path,views_total,views_unique
/shalenMathew/Quotes-app,167,121
/shalenMathew/Quotes-app/issues,28,13
/shalenMathew/Quotes-app/tree/master/app,27,23
/shalenMathew/Quotes-app/tree/master/app/src,25,22
/shalenMathew/Quotes-app/tree/master/app/src/main,23,21
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,22,16
/shalenMathew/Quotes-app/releases,17,8
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/data,13,10
/shalenMathew/Quotes-app/releases/tag/v4.1,12,7
/shalenMathew/Quotes-app/blob/master/app/build.gradle.kts,12,3
