time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-30 00:00:00+00:00,23,12,46,11
2026-01-31 00:00:00+00:00,19,10,40,7
2026-02-01 00:00:00+00:00,18,13,52,13
2026-02-02 00:00:00+00:00,73,31,60,11
2026-02-03 00:00:00+00:00,42,20,131,12
2026-02-04 00:00:00+00:00,14,9,11,6
2026-02-05 00:00:00+00:00,17,11,8,7
2026-02-06 00:00:00+00:00,29,15,12,11
2026-02-07 00:00:00+00:00,57,25,48,9
2026-02-08 00:00:00+00:00,37,17,25,10
2026-02-09 00:00:00+00:00,30,19,14,7
2026-02-10 00:00:00+00:00,21,9,69,7
2026-02-11 00:00:00+00:00,21,11,9,5
2026-02-12 00:00:00+00:00,8,7,53,11
