url_path,views_total,views_unique
/shalenMathew/Quotes-app,116,105
/shalenMathew/Quotes-app/releases/tag/v5.1,29,28
/shalenMathew/Quotes-app/releases,18,18
/shalenMathew/Quotes-app/tree/master/app/src,6,3
/shalenMathew/Quotes-app/tree/master/app,4,3
/shalenMathew/Quotes-app/tree/master/app/src/androidTest/java/com/shalenmathew/quotesapp,4,2
/shalenMathew/Quotes-app/pull/202/commits,4,1
/shalenMathew/Quotes-app/tree/master/app/src/main,3,2
/shalenMathew/Quotes-app/commits/master,3,1
/shalenMathew/Quotes-app/tree/master/app/src/androidTest/java/com/shalenmathew/quotesapp/local,2,2
