url_path,views_total,views_unique
/shalenMathew/Quotes-app,58,31
/shalenMathew/Quotes-app/tree/master/app,9,8
/shalenMathew/Quotes-app/issues,7,3
/shalenMathew/Quotes-app/tree/master/app/src/main,6,5
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,6,5
/shalenMathew/Quotes-app/tree/master/app/src,5,4
/shalenMathew/Quotes-app/tree/master,5,3
/shalenMathew/Quotes-app/releases/tag/v2.5,5,2
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/di/AppModule.kt,4,3
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/presentation,4,2
