url_path,views_total,views_unique
/shalenMathew/Quotes-app,67,40
/shalenMathew/Quotes-app/releases/tag/v3.1,11,9
/shalenMathew/Quotes-app/tree/master/app/src,7,4
/shalenMathew/Quotes-app/tree/master/app,6,6
/shalenMathew/Quotes-app/releases,6,4
/shalenMathew/Quotes-app/tree/master,5,5
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/data,5,2
/shalenMathew/Quotes-app/tree/master/app/src/main,4,4
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/presentation,4,3
/shalenMathew/Quotes-app/blob/master/.github/workflows/main_workflow.yml,4,1
