url_path,views_total,views_unique
/shalenMathew/Quotes-app,37,30
/shalenMathew/Quotes-app/releases,8,6
/shalenMathew/Quotes-app/releases/tag/v5.1,5,5
/shalenMathew/Quotes-app/forks,4,1
/shalenMathew/Quotes-app/tree/master/app/src/main/res,4,1
/shalenMathew/Quotes-app/tree/master/app/src,3,3
/shalenMathew/Quotes-app/tree/master,3,2
/shalenMathew/Quotes-app/commit/32fc51d3989800cdb546b68017ca6cbae1591345,3,1
/shalenMathew/Quotes-app/tree/master/app,2,2
/shalenMathew/Quotes-app/tree/master/app/src/main,2,2
