time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-03 00:00:00+00:00,11,7,8,3
2026-01-04 00:00:00+00:00,17,9,10,9
2026-01-05 00:00:00+00:00,6,6,13,6
2026-01-06 00:00:00+00:00,38,28,27,8
2026-01-07 00:00:00+00:00,19,9,7,4
2026-01-08 00:00:00+00:00,12,7,32,10
2026-01-09 00:00:00+00:00,16,6,34,5
2026-01-10 00:00:00+00:00,18,8,10,4
2026-01-11 00:00:00+00:00,11,6,6,5
2026-01-12 00:00:00+00:00,19,11,11,8
2026-01-13 00:00:00+00:00,9,5,3,1
2026-01-14 00:00:00+00:00,8,4,4,3
2026-01-15 00:00:00+00:00,13,5,8,2
2026-01-16 00:00:00+00:00,7,7,3,2
