url_path,views_total,views_unique
/shalenMathew/Quotes-app,36,16
/shalenMathew/Quotes-app/issues,6,4
/shalenMathew/Quotes-app/releases,5,5
/shalenMathew/Quotes-app/pulls,3,2
/shalenMathew/Quotes-app/tree/master/app,2,2
/shalenMathew/Quotes-app/commit/38aa7862acf9f990f2bfd2ed4bafc68c43a4c5a2,2,1
/shalenMathew/Quotes-app/commits/master,2,1
/shalenMathew/Quotes-app/blob/master/app/src/androidTest/java/com/shalenmathew/quotesapp/local/QuotesDaoTest.kt,1,1
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/data/local/AnimationPreferencesImpl.kt,1,1
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/data/local/CustomQuoteDao.kt,1,1
