time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-04 00:00:00+00:00,5.0,4.0,9,8
2025-07-05 00:00:00+00:00,6.0,6.0,9,5
2025-07-06 00:00:00+00:00,2.0,2.0,23,6
2025-07-07 00:00:00+00:00,8.0,7.0,9,5
2025-07-08 00:00:00+00:00,25.0,13.0,10,5
2025-07-09 00:00:00+00:00,8.0,7.0,23,6
2025-07-10 00:00:00+00:00,7.0,6.0,58,4
2025-07-11 00:00:00+00:00,11.0,8.0,21,6
2025-07-12 00:00:00+00:00,6.0,6.0,8,4
2025-07-13 00:00:00+00:00,6.0,6.0,14,4
2025-07-14 00:00:00+00:00,8.0,8.0,22,8
2025-07-15 00:00:00+00:00,3.0,3.0,48,9
2025-07-16 00:00:00+00:00,6.0,6.0,24,7
2025-07-17 00:00:00+00:00,,,7,4
