time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,31,11,19,15
2026-05-11 00:00:00+00:00,20,8,19,10
2026-05-12 00:00:00+00:00,31,9,2,2
2026-05-13 00:00:00+00:00,33,14,3,3
2026-05-14 00:00:00+00:00,20,8,8,5
2026-05-15 00:00:00+00:00,27,10,1,1
2026-05-16 00:00:00+00:00,12,7,1,1
2026-05-17 00:00:00+00:00,5,4,7,5
2026-05-18 00:00:00+00:00,17,8,4,4
2026-05-19 00:00:00+00:00,28,10,2,2
2026-05-20 00:00:00+00:00,262,14,10,4
2026-05-21 00:00:00+00:00,48,25,2,2
2026-05-22 00:00:00+00:00,43,22,9,2
2026-05-23 00:00:00+00:00,12,6,3,3
