time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,17,11,8,7
2026-02-06 00:00:00+00:00,29,15,12,11
2026-02-07 00:00:00+00:00,57,25,48,9
2026-02-08 00:00:00+00:00,37,17,25,10
2026-02-09 00:00:00+00:00,30,19,14,7
2026-02-10 00:00:00+00:00,21,9,69,7
2026-02-11 00:00:00+00:00,21,11,9,5
2026-02-12 00:00:00+00:00,8,7,53,11
2026-02-13 00:00:00+00:00,10,6,40,4
2026-02-14 00:00:00+00:00,13,8,23,6
2026-02-15 00:00:00+00:00,17,10,24,3
2026-02-16 00:00:00+00:00,25,15,6,3
2026-02-17 00:00:00+00:00,22,9,66,8
2026-02-18 00:00:00+00:00,8,8,11,3
