url_path,views_total,views_unique
/shalenMathew/Quotes-app,70,42
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/screens/home_screen/HomeScreen.kt,12,3
/shalenMathew/Quotes-app/tree/master/app/src/main,11,5
/shalenMathew/Quotes-app/tree/master/app,10,6
/shalenMathew/Quotes-app/commits/master,10,2
/shalenMathew/Quotes-app/tree/master/app/src,9,3
/shalenMathew/Quotes-app/blob/master/.github/workflows/main_workflow.yml,9,1
/shalenMathew/Quotes-app/releases/tag/v3.1,8,7
/shalenMathew/Quotes-app/issues/44,7,2
/shalenMathew/Quotes-app/releases,6,4
