time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-09 00:00:00+00:00,34,19,24,8
2026-07-10 00:00:00+00:00,462,13,5,4
2026-07-11 00:00:00+00:00,30,12,5,5
2026-07-12 00:00:00+00:00,11,6,5,5
2026-07-13 00:00:00+00:00,19,10,4,4
2026-07-14 00:00:00+00:00,18,9,13,5
2026-07-15 00:00:00+00:00,17,8,1,1
2026-07-16 00:00:00+00:00,12,6,1,1
2026-07-17 00:00:00+00:00,28,12,16,4
2026-07-18 00:00:00+00:00,21,9,1,1
2026-07-19 00:00:00+00:00,14,12,8,5
2026-07-20 00:00:00+00:00,29,14,7,5
2026-07-21 00:00:00+00:00,18,9,4,4
2026-07-22 00:00:00+00:00,8,8,7,4
