url_path,views_total,views_unique
/shalenMathew/Quotes-app,40,29
/shalenMathew/Quotes-app/tree/master/app,12,5
/shalenMathew/Quotes-app/releases,10,7
/shalenMathew/Quotes-app/tree/master/app/src,7,5
/shalenMathew/Quotes-app/issues,7,4
/shalenMathew/Quotes-app/releases/tag/v5.1,6,3
/shalenMathew/Quotes-app/tree/master/app/src/main,5,3
/shalenMathew/Quotes-app/pulls,3,2
/shalenMathew/Quotes-app/tree/master/app/src/main/res,3,2
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/MainActivity.kt,2,2
