url_path,views_total,views_unique
/shalenMathew/Quotes-app,128,101
/shalenMathew/Quotes-app/tree/master/app,24,20
/shalenMathew/Quotes-app/tree/master/app/src,22,19
/shalenMathew/Quotes-app/issues,20,12
/shalenMathew/Quotes-app/tree/master/app/src/main,19,17
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,18,12
/shalenMathew/Quotes-app/releases,13,6
/shalenMathew/Quotes-app/blob/master/app/build.gradle.kts,11,3
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/data,10,7
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/presentation,9,5
