url_path,views_total,views_unique
/shalenMathew/Quotes-app,74,62
/shalenMathew/Quotes-app/releases,14,14
/shalenMathew/Quotes-app/releases/tag/v5.4,14,13
/shalenMathew/Quotes-app/issues,5,3
/shalenMathew/Quotes-app/blob/master,3,1
/shalenMathew/Quotes-app/commit/5a08efb5f26f1de9be9a6751d642262147981fe3,2,2
/shalenMathew/Quotes-app/commits/master,2,2
/shalenMathew/Quotes-app/tree/master/app,2,2
/shalenMathew/Quotes-app/tree/master/app/src,2,2
/shalenMathew/Quotes-app/tree/master/app/src/main,2,2
