url_path,views_total,views_unique
/shalenMathew/Quotes-app,32,21
/shalenMathew/Quotes-app/releases/tag/v4.2,5,2
/shalenMathew/Quotes-app/issues,4,4
/shalenMathew/Quotes-app/tree/master/app/src,4,2
/shalenMathew/Quotes-app/tree/master/app/src/main,3,2
/shalenMathew/Quotes-app/pull/191,3,1
/shalenMathew/Quotes-app/tree/master/app,2,2
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,2,2
/shalenMathew/Quotes-app/blob/master,2,1
/shalenMathew/Quotes-app/blob/master/.github/workflows/main_workflow.yml,2,1
