url_path,views_total,views_unique
/shalenMathew/Quotes-app,77,42
/shalenMathew/Quotes-app/tree/master/app,18,6
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/screens/home_screen/HomeScreen.kt,14,4
/shalenMathew/Quotes-app/tree/master/app/src/main,13,6
/shalenMathew/Quotes-app/issues,10,4
/shalenMathew/Quotes-app/tree/master/app/src,10,3
/shalenMathew/Quotes-app/commits/master,10,2
/shalenMathew/Quotes-app/blob/master/.github/workflows/main_workflow.yml,9,1
/shalenMathew/Quotes-app/releases/tag/v3.1,7,6
/shalenMathew/Quotes-app/issues/44,7,2
