url_path,views_total,views_unique
/shalenMathew/Quotes-app,37,28
/shalenMathew/Quotes-app/tree/master/app,15,8
/shalenMathew/Quotes-app/tree/master/app/src,8,6
/shalenMathew/Quotes-app/issues,8,5
/shalenMathew/Quotes-app/tree/master/app/src/main,5,3
/shalenMathew/Quotes-app/releases/tag/v5.1,5,2
/shalenMathew/Quotes-app/pulls,4,3
/shalenMathew/Quotes-app/releases,3,2
/shalenMathew/Quotes-app/tree/master/app/src/main/res,3,2
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/MainActivity.kt,2,2
