url_path,views_total,views_unique
/shalenMathew/Quotes-app,36,30
/shalenMathew/Quotes-app/issues,6,2
/shalenMathew/Quotes-app/releases,4,4
/shalenMathew/Quotes-app/releases/tag/v5.4,4,4
/shalenMathew/Quotes-app/graphs/contributors,3,2
/shalenMathew/Quotes-app/commits/master,2,2
/shalenMathew/Quotes-app/discussions,2,2
/shalenMathew/Quotes-app/actions/runs/15578413651/job/43867825915,1,1
/shalenMathew/Quotes-app/actions/runs/15581363043/workflow,1,1
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/QuoteApplication.kt,1,1
