time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,124,35,6,6
2026-04-28 00:00:00+00:00,29,13,4,3
2026-04-29 00:00:00+00:00,107,14,2,2
2026-04-30 00:00:00+00:00,36,15,70,33
2026-05-01 00:00:00+00:00,37,12,40,26
2026-05-02 00:00:00+00:00,97,24,32,19
2026-05-03 00:00:00+00:00,128,31,84,10
2026-05-04 00:00:00+00:00,240,52,39,11
2026-05-05 00:00:00+00:00,74,20,11,10
2026-05-06 00:00:00+00:00,53,14,2,2
2026-05-07 00:00:00+00:00,107,48,6,4
2026-05-08 00:00:00+00:00,42,20,16,14
2026-05-09 00:00:00+00:00,16,10,131,68
2026-05-10 00:00:00+00:00,31,11,19,15
