url_path,views_total,views_unique
/shalenMathew/Quotes-app,52,32
/shalenMathew/Quotes-app/releases,12,10
/shalenMathew/Quotes-app/issues,6,5
/shalenMathew/Quotes-app/tree/master/app,4,3
/shalenMathew/Quotes-app/releases/tag/v5.3,3,3
/shalenMathew/Quotes-app/tree/master,3,2
/shalenMathew/Quotes-app/tree/master/app/src,3,2
/shalenMathew/Quotes-app/blob/master/app/build.gradle.kts,2,2
/shalenMathew/Quotes-app/commit/fbc66655ebd4cf747ec653745486e583cfaead46,2,2
/shalenMathew/Quotes-app/blob/master/.github/workflows/main_workflow.yml,2,1
