url_path,views_total,views_unique
/shalenMathew/Quotes-app,62,35
/shalenMathew/Quotes-app/tree/master/app,7,6
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,6,4
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/domain,6,2
/shalenMathew/Quotes-app/tree/master/app/src,5,4
/shalenMathew/Quotes-app/releases/tag/v4.3,4,4
/shalenMathew/Quotes-app/tree/master/app/src/main,4,4
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/presentation,4,3
/shalenMathew/Quotes-app/pulls,4,2
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/domain/repository,4,2
