url_path,views_total,views_unique
/shalenMathew/Quotes-app,54,34
/shalenMathew/Quotes-app/releases,10,10
/shalenMathew/Quotes-app/issues,5,4
/shalenMathew/Quotes-app/tree/master/app,4,3
/shalenMathew/Quotes-app/tree/master,3,2
/shalenMathew/Quotes-app/tree/master/app/src,3,2
/shalenMathew/Quotes-app/blob/master/app/build.gradle.kts,2,2
/shalenMathew/Quotes-app/commit/fbc66655ebd4cf747ec653745486e583cfaead46,2,2
/shalenMathew/Quotes-app/discussions,2,2
/shalenMathew/Quotes-app/graphs/contributors,2,2
