time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,114,22,7,3
2026-06-11 00:00:00+00:00,30,17,3,1
2026-06-12 00:00:00+00:00,19,8,24,3
2026-06-13 00:00:00+00:00,29,11,1,1
2026-06-14 00:00:00+00:00,46,17,0,0
2026-06-15 00:00:00+00:00,35,15,2,2
2026-06-16 00:00:00+00:00,41,14,2,2
2026-06-17 00:00:00+00:00,49,21,10,5
2026-06-18 00:00:00+00:00,42,17,14,5
2026-06-19 00:00:00+00:00,72,20,1,1
2026-06-20 00:00:00+00:00,62,22,4,3
2026-06-21 00:00:00+00:00,91,21,8,4
2026-06-22 00:00:00+00:00,50,16,3,2
2026-06-23 00:00:00+00:00,88,29,3,3
