time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-09 00:00:00+00:00,13,8,50,10
2026-03-10 00:00:00+00:00,11,6,25,5
2026-03-11 00:00:00+00:00,11,5,38,4
2026-03-12 00:00:00+00:00,13,8,1,1
2026-03-13 00:00:00+00:00,16,10,69,4
2026-03-14 00:00:00+00:00,13,8,9,4
2026-03-15 00:00:00+00:00,14,7,5,2
2026-03-16 00:00:00+00:00,9,8,12,4
2026-03-17 00:00:00+00:00,45,13,42,5
2026-03-18 00:00:00+00:00,15,13,7,4
2026-03-19 00:00:00+00:00,27,11,13,7
2026-03-20 00:00:00+00:00,11,5,7,5
2026-03-21 00:00:00+00:00,17,7,9,6
2026-03-22 00:00:00+00:00,11,5,9,3
