url_path,views_total,views_unique
/shalenMathew/Quotes-app,72,40
/shalenMathew/Quotes-app/releases/tag/v3.1,11,9
/shalenMathew/Quotes-app/tree/master/app/src,9,5
/shalenMathew/Quotes-app/commits/master,9,1
/shalenMathew/Quotes-app/tree/master,8,5
/shalenMathew/Quotes-app/tree/master/app,6,6
/shalenMathew/Quotes-app/releases,6,4
/shalenMathew/Quotes-app/blob/master/.github/workflows/main_workflow.yml,6,1
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/data,5,2
/shalenMathew/Quotes-app/tree/master/app/src/main,4,4
