url_path,views_total,views_unique
/shalenMathew/Quotes-app,14,10
/shalenMathew/Quotes-app/tree/master/app,3,2
/shalenMathew/Quotes-app/tree/master/app/src/main,3,2
/shalenMathew/Quotes-app/tree/master/app/src,2,2
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp,2,2
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/presentation,2,2
/shalenMathew/Quotes-app/tree/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/screens,2,2
/shalenMathew/Quotes-app/releases,2,1
/shalenMathew/Quotes-app/blame/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/screens/settings_screen/SettingsScreen.kt,1,1
/shalenMathew/Quotes-app/blob/master/app/src/main/java/com/shalenmathew/quotesapp/presentation/screens/home_screen/HomeScreen.kt,1,1
