time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-04 00:00:00+00:00,19,13,82,10
2025-10-05 00:00:00+00:00,15,10,91,27
2025-10-06 00:00:00+00:00,21,10,143,25
2025-10-07 00:00:00+00:00,24,9,182,22
2025-10-08 00:00:00+00:00,19,11,89,15
2025-10-09 00:00:00+00:00,8,8,98,13
2025-10-10 00:00:00+00:00,12,9,104,17
2025-10-11 00:00:00+00:00,10,9,98,19
2025-10-12 00:00:00+00:00,7,6,36,12
2025-10-13 00:00:00+00:00,18,11,38,12
2025-10-14 00:00:00+00:00,41,16,122,32
2025-10-15 00:00:00+00:00,15,7,51,10
2025-10-16 00:00:00+00:00,39,10,157,23
2025-10-17 00:00:00+00:00,46,15,69,22
