time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,42,12,4,3
2026-06-26 00:00:00+00:00,46,15,10,7
2026-06-27 00:00:00+00:00,104,38,15,6
2026-06-28 00:00:00+00:00,22,13,7,4
2026-06-29 00:00:00+00:00,34,22,22,4
2026-06-30 00:00:00+00:00,23,12,4,4
2026-07-01 00:00:00+00:00,7,7,0,0
2026-07-02 00:00:00+00:00,20,11,7,5
2026-07-03 00:00:00+00:00,9,9,7,6
2026-07-04 00:00:00+00:00,24,13,2,2
2026-07-05 00:00:00+00:00,32,16,1,1
2026-07-06 00:00:00+00:00,6,6,3,3
2026-07-07 00:00:00+00:00,10,9,8,4
2026-07-08 00:00:00+00:00,13,7,28,8
